"id","day","wd","minute10","W"
254,2,4,110,697.5
255,2,4,111,716.5
256,2,4,112,696
257,2,4,113,719
258,2,4,114,719.5
259,2,4,115,673.5
260,2,4,116,677
261,2,4,117,661
262,2,4,118,660
263,2,4,119,661
264,2,4,120,684.5
265,2,4,121,662.5
266,2,4,122,656.5
267,2,4,123,630
268,2,4,124,618
269,2,4,125,643.5
270,2,4,126,632
271,2,4,127,594
272,2,4,128,619
273,2,4,129,609.5
274,2,4,130,575
275,2,4,131,568.5
276,2,4,132,555.5
277,2,4,133,545.5
278,2,4,134,525.5
279,2,4,135,505
280,2,4,136,474
281,2,4,137,478
282,2,4,138,460
283,2,4,139,440.5
284,2,4,140,405
285,2,4,141,382.5
286,2,4,142,377.5
287,2,4,143,364.5
288,2,4,144,344.5
289,3,5,1,330.5
290,3,5,2,305.5
291,3,5,3,296.5
292,3,5,4,284
293,3,5,5,270.5
294,3,5,6,257.5
295,3,5,7,244
296,3,5,8,239
297,3,5,9,235
298,3,5,10,231.5
299,3,5,11,234.5
300,3,5,12,224
301,3,5,13,216
302,3,5,14,198
303,3,5,15,192.5
304,3,5,16,193
305,3,5,17,199
306,3,5,18,196.5
307,3,5,19,191.5
308,3,5,20,185
309,3,5,21,179.5
310,3,5,22,183
311,3,5,23,180.5
312,3,5,24,182
313,3,5,25,175.5
314,3,5,26,173.5
315,3,5,27,176
316,3,5,28,179
317,3,5,29,179
318,3,5,30,174.5
319,3,5,31,180
320,3,5,32,175
321,3,5,33,184.5
322,3,5,34,177.5
323,3,5,35,180
324,3,5,36,185
325,3,5,37,197
326,3,5,38,204
327,3,5,39,208
328,3,5,40,209.5
329,3,5,41,235.5
330,3,5,42,248.5
331,3,5,43,278.5
332,3,5,44,311
333,3,5,45,332
334,3,5,46,354
335,3,5,47,377.5
336,3,5,48,411.5
337,3,5,49,399
338,3,5,50,415
339,3,5,51,418
340,3,5,52,402
341,3,5,53,383.5
342,3,5,54,373
343,3,5,55,391.5
344,3,5,56,413.5
345,3,5,57,406.5
346,3,5,58,368
347,3,5,59,353.5
348,3,5,60,367.5
349,3,5,61,380
350,3,5,62,372.5
351,3,5,63,350.5
352,3,5,64,329
353,3,5,65,328.5
354,3,5,66,321.5
355,3,5,67,327
356,3,5,68,346.5
357,3,5,69,336.5
358,3,5,70,343.5
359,3,5,71,345.5
360,3,5,72,332
361,3,5,73,345
362,3,5,74,368
363,3,5,75,347
364,3,5,76,369
365,3,5,77,344
366,3,5,78,344.5
367,3,5,79,335.5
368,3,5,80,368.5
369,3,5,81,376
370,3,5,82,380.5
371,3,5,83,387.5
372,3,5,84,376
373,3,5,85,349
374,3,5,86,352
375,3,5,87,358
376,3,5,88,350.5
377,3,5,89,371.5
378,3,5,90,363.5
379,3,5,91,371
380,3,5,92,396.5
381,3,5,93,415.5
382,3,5,94,433
383,3,5,95,439
384,3,5,96,463
385,3,5,97,478
386,3,5,98,500.5
387,3,5,99,519.5
388,3,5,100,552
389,3,5,101,568.5
390,3,5,102,602
391,3,5,103,641.5
392,3,5,104,663.5
393,3,5,105,663.5
394,3,5,106,628
395,3,5,107,642.5
396,3,5,108,672
397,3,5,109,662
398,3,5,110,697.5
399,3,5,111,716.5
400,3,5,112,696
401,3,5,113,719
402,3,5,114,719.5
403,3,5,115,673.5
404,3,5,116,677
405,3,5,117,661
406,3,5,118,660
407,3,5,119,661
408,3,5,120,684.5
409,3,5,121,662.5
410,3,5,122,656.5
411,3,5,123,630
412,3,5,124,618
413,3,5,125,643.5
414,3,5,126,632
415,3,5,127,594
416,3,5,128,619
417,3,5,129,609.5
418,3,5,130,575
419,3,5,131,568.5
420,3,5,132,555.5
421,3,5,133,545.5
422,3,5,134,525.5
