Time,AutWd,AutSat,AutSun,HsrWd,HsrSat,HsrSun,SmrWd,SmrSat,SmrSun,SprWd,SprSat,SprSun,WtrWd,WtrSat,WtrSun
0.02,5.75,5.5,4.79,5.78,5.37,4.59,5.53,5.44,4.82,5.88,5.85,5.26,7.03,6.69,6.29
0.04,5.73,5.5,4.83,5.73,5.49,4.67,5.52,5.55,4.96,6.12,6.2,5.52,6.97,6.59,6.19
0.06,5.65,5.45,4.83,5.71,5.37,4.6,5.5,5.53,4.95,6.18,5.94,5.4,6.79,6.39,5.93
0.08,5.4,5.27,4.63,5.52,5.09,4.56,5.4,5.29,4.79,6.01,5.86,5.44,6.61,6.21,5.73
0.10,5.42,5.31,4.61,5.42,5.06,4.42,5.3,5.21,4.73,5.96,5.77,5.43,6.52,6.15,5.65
0.13,5.25,4.99,4.44,5.3,4.92,4.27,5.12,5.05,4.58,5.81,5.79,5.17,6.55,6.1,5.69
0.15,5.15,4.83,4.41,5.2,4.7,4.17,5.02,4.9,4.52,5.66,5.58,5.1,6.49,5.99,5.64
0.17,5.12,4.89,4.38,5.22,4.72,4.23,4.99,4.95,4.56,5.67,5.47,5.11,6.41,5.9,5.57
0.19,5.1,4.79,4.44,5.19,4.68,4.25,4.93,4.82,4.56,5.58,5.37,5.17,6.37,5.87,5.57
0.21,4.94,4.64,4.3,5.07,4.64,4.17,4.84,4.73,4.41,5.52,5.42,5.26,6.34,5.79,5.64
0.23,5.12,4.65,4.36,5.06,4.54,4.12,4.94,4.77,4.39,5.7,5.52,5.23,6.77,5.85,5.63
0.25,5.88,4.76,4.36,5.54,4.49,4.13,5.55,4.7,4.35,6.42,5.58,5.26,7.55,6.1,5.72
0.27,6.85,5.03,4.41,6.22,4.53,4.11,6.46,4.83,4.36,7.39,5.76,5.34,8.66,6.6,5.82
0.29,8.16,5.73,4.53,7.23,5.2,4.13,7.44,5.36,4.45,8.47,6.21,5.34,10,7.11,6
0.31,10.99,6.81,4.52,9.42,6.18,4.34,9.74,6.63,4.61,11.22,7.87,5.42,12.71,8.01,6.13
0.33,13.44,8.93,4.95,11.8,8.07,4.88,12.14,8.23,4.88,13.47,9.08,5.66,16.2,9.9,6.52
0.35,17.51,11.38,5.24,15.61,10.41,5.25,15.7,10.11,5.26,17.51,11.19,6.09,21.71,13.13,7.17
0.38,21.7,13.41,5.38,19.8,13.11,5.41,19.87,12.72,5.39,21.91,13.85,6.4,26.67,15.49,7.78
0.40,23.99,14.49,5.7,21.76,14.21,5.65,21.83,13.99,5.6,24.22,15.76,6.47,29.28,17.1,8.54
0.42,24.84,15,5.82,22.45,14.6,5.89,22.93,14.36,5.9,24.73,15.82,6.8,29.9,17.54,9.1
