Time,AutWd,AutSat,AutSun,HsrWd,HsrSat,HsrSun,SmrWd,SmrSat,SmrSun,SprWd,SprSat,SprSun,WtrWd,WtrSat,WtrSun
0.02,1.45,1.4,1.38,1.29,1.31,1.07,1.48,1.52,1.21,1.74,1.7,1.43,2.96,2.63,2.63
0.04,1.6,1.57,1.41,1.31,1.33,1.1,1.45,1.52,1.14,1.76,1.67,1.41,3.91,3.56,3.52
0.06,1.76,1.72,1.5,1.3,1.27,1.1,1.46,1.43,1.18,2.01,1.82,1.5,4.59,4.26,4.14
0.08,1.91,1.94,1.58,1.27,1.2,1.07,1.43,1.38,1.2,2.5,2.28,1.84,4.61,4.28,4.19
0.10,1.98,2.01,1.62,1.21,1.19,1.07,1.41,1.43,1.26,2.66,2.33,2.01,4.61,4.25,4.19
0.13,1.98,2,1.65,1.29,1.25,1.12,1.48,1.49,1.29,2.69,2.38,2.06,4.54,4.16,4.13
0.15,1.95,1.9,1.63,1.29,1.26,1.13,1.58,1.54,1.37,2.69,2.29,2.07,4.42,4.07,4
0.17,1.85,1.83,1.53,1.24,1.18,1.1,1.58,1.58,1.42,2.67,2.27,2.08,4.19,3.88,3.84
0.19,1.8,1.83,1.47,1.25,1.24,1.12,1.47,1.45,1.27,2.51,2.11,1.94,4.03,3.83,3.71
0.21,1.77,1.8,1.48,1.29,1.26,1.13,1.42,1.39,1.26,2.51,2.11,1.88,3.91,3.73,3.64
0.23,1.8,1.82,1.5,1.41,1.34,1.21,1.4,1.32,1.2,2.42,2.05,1.82,3.77,3.59,3.54
0.25,1.93,1.82,1.52,1.59,1.34,1.22,1.43,1.36,1.17,2.38,1.93,1.75,3.69,3.46,3.4
0.27,2.12,1.87,1.48,1.81,1.4,1.22,1.89,1.59,1.19,2.7,2.42,1.85,3.78,3.52,3.32
0.29,2.33,1.96,1.47,2,1.46,1.24,2.37,1.94,1.35,3.25,3.1,2.07,3.72,3.45,3.11
0.31,2.52,2.11,1.55,2.04,1.62,1.21,2.44,2.21,1.26,3.34,3.13,1.93,3.71,3.4,2.88
0.33,2.61,2.2,1.49,2.17,1.78,1.21,2.74,2.5,1.3,3.66,3.46,2.02,3.66,3.18,2.51
0.35,3.25,2.37,1.49,2.75,2.04,1.25,3.46,2.47,1.33,4.42,3.3,1.86,3.98,3.1,2.21
0.38,3.83,2.59,1.49,3.08,2.26,1.21,4.01,2.73,1.35,4.86,3.44,1.67,4.56,3.2,2.1
0.40,4.23,2.87,1.49,3.43,2.5,1.26,4.55,3.08,1.38,5.14,3.75,1.65,5.01,3.51,2.02
0.42,4.36,3.06,1.58,3.6,2.56,1.28,4.57,3.2,1.42,5.44,3.9,1.65,5.18,3.7,2.04
0.44,4.45,3.08,1.65,3.54,2.56,1.33,4.57,3.16,1.49,5.27,3.71,1.69,5.37,3.85,2.06
0.46,4.54,3.09,1.65,3.68,2.69,1.34,4.93,3.33,1.48,5.57,3.78,1.73,5.44,3.86,2.05
0.48,4.63,3.12,1.65,3.78,2.66,1.38,4.92,3.32,1.45,5.38,3.71,1.7,5.4,3.77,2.09
0.50,4.64,3.09,1.69,3.75,2.71,1.37,4.95,3.15,1.44,5.5,3.81,1.71,5.37,3.68,2.1
0.52,4.42,2.91,1.69,3.68,2.46,1.39,5.01,2.83,1.58,5.62,3.31,1.67,5.28,3.48,2.09
0.54,4.39,2.81,1.64,3.57,2.39,1.35,4.59,2.73,1.53,5.29,3.38,1.47,5.17,3.31,2.05
0.56,4.38,2.76,1.63,3.57,2.29,1.39,4.58,2.62,1.44,5.2,3.25,1.48,5.07,3.16,2
0.58,4.24,2.67,1.54,3.54,2.29,1.33,4.49,2.42,1.21,5.3,3.03,1.4,4.95,3.06,1.95
0.60,4.16,2.69,1.44,3.61,2.24,1.28,4.55,2.32,1.16,5.26,2.7,1.29,4.87,3.01,1.91
0.63,4.13,2.65,1.41,3.6,2.17,1.28,4.52,2.25,1.1,5.38,2.52,1.22,4.8,3.01,1.91
0.65,4.05,2.56,1.36,3.57,2.17,1.25,4.47,2.18,1.12,5.09,2.36,1.08,4.76,2.98,1.92
0.67,3.93,2.5,1.38,3.5,2.15,1.25,4.41,2.17,1.13,4.91,2.33,1.1,4.65,2.97,1.94
0.69,3.78,2.41,1.42,3.29,2.08,1.28,3.95,2.06,1.11,4.28,2.18,1.18,4.5,2.95,1.99
0.71,3.33,2.32,1.38,2.94,2.02,1.26,3.51,1.99,1.12,3.83,2.13,1.2,4.24,2.89,2.07
0.73,2.81,2.08,1.38,2.54,1.76,1.22,3.19,1.87,1.11,3.5,1.88,1.09,3.74,2.65,2.09
0.75,2.36,1.92,1.4,2.08,1.52,1.18,2.52,1.67,1.07,2.89,1.68,1.13,3.07,2.42,2.01
0.77,2,1.77,1.44,1.72,1.31,1.13,2.03,1.38,1.08,2.34,1.5,1.3,2.67,2.19,1.9
0.79,1.86,1.69,1.44,1.62,1.22,1.14,1.81,1.2,1.08,1.98,1.35,1.19,2.43,2.06,1.82
0.81,1.84,1.67,1.48,1.58,1.2,1.14,1.74,1.19,1.05,1.95,1.31,1.16,2.32,2,1.77
0.83,1.79,1.64,1.46,1.5,1.13,1.11,1.66,1.18,1.07,1.91,1.31,1.17,2.22,1.94,1.74
0.85,1.72,1.56,1.44,1.47,1.16,1.13,1.66,1.18,1.1,1.85,1.28,1.13,2.12,1.86,1.72
0.88,1.65,1.55,1.42,1.46,1.15,1.13,1.6,1.19,1.11,1.87,1.35,1.2,2.02,1.79,1.7
0.90,1.58,1.51,1.42,1.42,1.15,1.15,1.51,1.21,1.12,1.7,1.27,1.18,1.92,1.77,1.67
0.92,1.54,1.49,1.43,1.41,1.13,1.12,1.6,1.28,1.18,1.74,1.31,1.26,1.89,1.77,1.68
0.94,1.55,1.5,1.42,1.5,1.12,1.08,1.77,1.33,1.26,1.89,1.45,1.37,1.86,1.72,1.66
0.96,1.56,1.52,1.43,1.46,1.12,1.1,1.73,1.32,1.24,1.93,1.44,1.33,1.82,1.7,1.64
0.98,1.55,1.49,1.38,1.43,1.11,1.09,1.72,1.32,1.28,1.95,1.43,1.37,1.82,1.72,1.66
0.00,1.48,1.41,1.35,1.34,1.09,1.03,1.58,1.27,1.17,1.87,1.47,1.38,2.27,2.11,2.14
