Time,AutWd,AutSat,AutSun,HsrWd,HsrSat,HsrSun,SmrWd,SmrSat,SmrSun,SprWd,SprSat,SprSun,WtrWd,WtrSat,WtrSun
0.02,8.11,8.63,7.9,8.06,8.73,7.78,8.12,8.73,8.04,8.31,8.99,7.54,10.23,10.03,9.35
0.04,7.72,8.13,7.53,7.63,8.02,7.55,7.73,8.24,7.47,8.18,8.2,7.12,9.89,9.47,8.81
0.06,7.57,7.71,7.19,7.49,7.78,7.31,7.58,8.07,7.18,7.89,7.65,7.09,9.81,9.19,8.65
0.08,7.36,7.52,6.84,7.33,7.67,6.98,7.44,7.65,7.06,7.78,7.55,6.89,9.71,9.02,8.54
0.10,7.41,7.44,6.76,7.3,7.43,6.95,7.43,7.7,6.94,7.67,7.86,6.99,9.61,8.94,8.33
0.13,7.3,7.41,6.91,7.24,7.43,6.83,7.42,7.47,6.9,7.69,7.44,6.94,9.52,8.74,8.16
0.15,7.25,7.24,6.57,7.19,7.3,6.63,7.36,7.41,6.78,7.79,7.6,7.13,9.46,8.62,7.99
0.17,7.22,7.3,6.52,7.08,7.21,6.73,7.32,7.39,6.68,7.68,7.51,7,9.34,8.51,7.99
0.19,7.1,7.17,6.58,7.01,7.13,6.57,7.31,7.35,6.65,7.73,7.59,6.96,9.27,8.52,8.01
0.21,7.09,7.03,6.46,7.08,7.2,6.45,7.27,7.28,6.67,7.82,7.51,6.79,9.38,8.43,8.01
0.23,7.2,7.29,6.38,7.18,7.08,6.53,7.32,7.33,6.6,8,7.66,6.92,9.59,8.48,7.9
0.25,7.65,7.34,6.48,7.53,7.06,6.58,7.7,7.25,6.5,8.4,8,6.92,10.07,8.64,7.9
0.27,8.89,8.04,6.81,8.22,8,6.84,8.78,8.02,7.1,9.34,8.54,7.45,11.53,9.57,8.26
0.29,10.73,9.43,7.84,10.07,9.27,7.85,10.34,9.23,7.95,10.82,9.56,8.06,13.28,10.78,8.76
0.31,12.61,11.12,8.69,12.24,10.64,8.3,12.24,10.53,8.3,12.76,10.83,8.42,15.41,12.69,9.44
0.33,14.54,12.52,9.1,14.43,12.14,8.61,14.28,12.02,8.74,14.82,12.01,9,17.67,14.24,10.25
0.35,17.35,14.36,9.85,16.76,13.42,9.67,16.63,13.48,9.46,17.6,13.74,9.76,20.72,16.95,11.34
0.38,20.1,16.46,10.37,19.14,16.5,10.23,19.04,15.97,10.11,20.15,16.13,10.04,23.46,19.13,11.86
0.40,21.93,18.74,11.62,21.02,18.82,11.28,20.86,18.34,11.17,22.49,19.3,10.74,25.42,21.21,12.67
0.42,23.02,19.34,12.09,22.56,19.5,11.87,22.45,18.71,11.71,24.27,20.27,11.61,26.54,21.62,13.49
0.44,24.62,19.42,12.65,24.22,19.71,12.11,23.82,18.77,11.85,25.65,20.44,12.13,28.02,21.77,14.4
0.46,24.87,19.32,13.6,24.52,19.56,13.28,24.32,19.06,13.15,25.89,20.66,13.84,28.47,22.07,15.54
0.48,25.14,19.49,16.18,25.16,19.77,15.54,24.94,19.24,15,26.35,20.74,16.05,28.72,22.1,16.92
0.50,25.4,19.23,15.7,25.45,19.32,15.47,25.39,19,14.51,26.5,20.81,15.35,28.9,21.99,17.21
0.52,25.75,18.87,15.48,25.81,19.17,15.77,25.49,18.55,14.43,26.5,20.18,15.14,28.98,21.22,17.33
0.54,25.69,18.79,15.42,25.69,19.24,15.49,25.46,18.39,14.53,26.42,19.32,15.01,28.76,20.95,17.38
0.56,25.54,18.73,15.58,25.83,19.18,15.48,25.51,18.12,14.74,26.5,19.12,15.23,28.57,20.72,17.28
0.58,25.21,18.8,15.44,25.57,19.13,15.48,25.08,18.07,14.63,25.81,18.72,15.22,28.34,20.63,17.28
0.60,25.04,18.29,15.23,25.25,18.71,15.26,24.99,17.98,14.7,25.68,18.4,15.02,27.97,20.06,17.03
0.63,24.7,18.3,15.27,25.25,18.46,15.42,24.82,17.76,14.42,25.43,18.01,14.95,27.58,19.67,16.88
0.65,24.28,17.81,14.92,24.78,18.27,15.18,24.32,17.33,14.35,25,17.72,14.63,27.29,19.29,16.57
0.67,23.79,17.38,14.66,24.13,17.81,14.76,23.8,17.03,14.17,24.44,17.31,14.32,27.07,19.35,16.4
0.69,23.16,16.88,13.74,23.53,17.48,14.42,23.19,16.61,13.52,23.8,17,13.78,26.89,19.21,16.38
0.71,22.15,16.64,13.42,22.73,17.17,13.74,22.59,16.32,13.08,22.98,16.83,13.24,26.41,18.88,16.11
0.73,21.47,16.28,11.59,21.8,16.76,11.76,21.82,16.1,11.4,22.27,16.81,10.94,25.28,18.69,14.57
0.75,20.93,16.13,10.11,20.71,16.26,10.17,20.61,15.71,9.98,21.35,16.01,9.58,24.38,18.43,13.19
0.77,19.3,14.56,9.91,18.68,13.77,10,18.55,13.2,9.59,18.6,13.27,9.5,22.21,16.64,12.94
0.79,17.6,12.5,10.08,16.71,11.91,10.3,16.87,11.72,9.79,16.18,11.21,8.98,19.71,14.5,12.51
0.81,16.74,12.29,10.52,15.66,11.61,10.09,15.86,11.49,9.87,15.77,11.52,9.62,18.79,14.06,12.88
0.83,15.8,12.09,10.5,14.85,11.33,10.21,14.82,11.25,10.06,15.22,11.4,10.1,17.92,13.58,12.79
0.85,14.21,11.95,11.07,13.23,11.29,10.36,12.77,11.02,10.1,13.39,11.36,10.2,16.3,13.39,12.74
0.88,12.86,11.7,10.82,12.27,11.23,10.65,11.88,10.74,9.99,12.34,11.02,10.31,14.75,13.16,12.63
0.90,12.4,11.59,10.78,12.06,11.1,10.56,11.79,11,10.03,12.05,10.73,10.26,14.01,12.89,12.39
0.92,11.58,11.46,10.4,11.52,10.97,10.19,11.29,10.71,9.91,11.49,10.85,9.96,13.35,12.49,11.95
0.94,10.84,10.77,9.9,10.79,10.53,9.73,10.54,10.34,9.71,10.78,10.18,9.46,12.54,11.72,11.46
0.96,10.4,10.44,9.73,10.23,9.79,9.48,9.98,9.81,9.39,10.23,9.7,9.31,12.1,11.34,11.39
0.98,9.76,9.82,9.04,9.6,9.44,8.87,9.35,9.14,9.02,9.72,8.97,8.9,11.74,10.85,10.95
0.00,8.94,9.09,8.37,8.82,8.67,8.25,8.76,8.64,8.37,9,8.57,8.15,10.93,10.25,10.14
