Time,AutWd,AutSat,AutSun,HsrWd,HsrSat,HsrSun,SmrWd,SmrSat,SmrSun,SprWd,SprSat,SprSun,WtrWd,WtrSat,WtrSun
0.02,17.75,18.41,17.91,18.6,19.27,18.7,17.59,18.32,17.86,17.46,18.2,17.66,17.95,18.69,17.99
0.04,16.99,17.57,17.08,17.93,18.35,17.83,16.92,17.56,17,16.86,17.24,16.91,17.4,17.9,17.35
0.06,16.68,17.01,16.57,17.52,17.8,17.2,16.51,16.78,16.3,16.52,16.9,16.36,17.17,17.41,16.93
0.08,16.53,16.82,15.97,17.37,17.53,16.83,16.43,16.64,15.86,16.32,16.34,15.74,16.99,17.11,16.55
0.10,16.42,16.5,15.59,17.16,17.19,16.51,16.2,16.38,15.5,16.06,16.23,15.56,16.76,16.63,16.14
0.13,16.28,16.26,15.42,16.98,17.02,16.29,16.04,16.14,15.4,16.05,16.14,15.45,16.62,16.52,15.93
0.15,16.22,16.25,15.32,16.89,16.86,16.26,16.08,16.1,15.33,16.09,16.12,15.4,16.63,16.42,15.88
0.17,16.31,16.28,15.3,17.05,16.93,16.31,16.22,16.23,15.45,16.13,16.23,15.45,16.61,16.38,15.77
0.19,16.33,16.25,15.33,16.93,16.79,16.32,16.13,16,15.37,16.08,15.99,15.35,16.63,16.37,15.71
0.21,16.38,16.23,15.57,16.99,16.74,16.28,15.96,15.84,15.2,16.17,16.2,15.34,16.65,16.41,15.74
0.23,16.46,16.24,15.45,17.07,16.7,16.27,15.72,15.61,14.84,16.41,16.22,15.59,16.94,16.58,15.92
0.25,16.93,16.65,15.82,17.2,16.79,16.24,15.97,15.69,15.03,16.79,16.65,15.83,17.4,17.06,16.38
0.27,17.77,17.37,16.34,17.61,17.16,16.3,16.53,16.18,15.26,17.39,16.98,16.06,18.21,17.6,16.78
0.29,18.17,17.59,16.36,18.05,17.38,16.42,17.09,16.82,15.63,18.01,17.46,16.3,19.14,18.35,17.04
0.31,19.57,18.77,17.01,19.45,18.58,17.34,18.37,17.68,16.27,19.06,18.34,17,20.8,19.49,17.8
0.33,20.86,19.42,17.1,20.92,19.37,17.58,19.86,18.79,16.89,20.31,19.09,17.34,22.55,20.79,18.56
0.35,22.33,20.64,17.41,22.5,20.84,18.22,21.69,20.26,17.46,21.71,20.32,17.95,24.61,22.31,19.3
0.38,23.18,21.76,17.98,23.42,22.32,18.84,22.67,21.31,17.95,22.7,21.41,18.54,25.92,23.38,19.98
0.40,24.22,22.96,18.91,24.56,23.47,20.01,23.79,22.66,19.06,23.87,22.76,19.64,26.9,24.37,21.29
0.42,24.71,23.58,20.01,25.06,24.11,20.99,24.33,23.22,19.9,24.4,23.25,20.27,27.62,24.65,22.14
0.44,24.95,23.66,20.7,25.51,24.62,21.71,24.76,23.59,20.67,24.84,23.66,21.1,27.77,24.81,22.81
0.46,25.39,23.95,21.46,25.89,24.8,22.23,25.13,23.84,21.46,25.05,23.82,21.66,28,25.14,23.2
0.48,25.58,24.26,22.14,26.12,25.03,23.07,25.35,24.2,22.28,25.39,24.13,22.3,28.37,25.68,23.65
0.50,25.76,24.42,22.43,26.16,25.02,22.87,25.62,24.27,22.4,25.65,24.47,22.63,28.6,26.07,23.92
0.52,25.56,24.11,22.18,25.99,24.63,22.83,25.49,24.08,22.23,25.71,24.48,22.77,28.56,25.77,24.01
0.54,25.59,23.78,22.19,26.16,24.37,22.79,25.73,24.16,22.47,25.79,24.37,22.85,28.62,25.48,24.08
0.56,25.63,23.73,22.43,26.23,24.35,22.84,25.84,24,22.59,25.87,24.25,23.01,28.47,25.25,23.96
0.58,25.51,23.58,22.36,26.26,24.38,23.01,25.84,24.09,22.82,25.72,24.02,22.89,28.22,24.98,24.02
0.60,25.1,23.41,22.21,25.93,24.21,22.9,25.45,23.74,22.76,25.12,23.64,22.69,27.79,24.56,23.74
0.63,24.84,23.08,21.96,25.71,23.88,22.99,25.28,23.42,22.53,24.79,23.09,22.47,27.51,24.13,23.53
0.65,24.55,22.88,21.64,25.56,23.79,22.8,25.02,23.28,22.42,24.44,23.12,22.32,27.2,23.97,23.33
0.67,24.5,22.71,21.38,25.51,23.69,22.6,24.93,23.18,22.16,24.38,22.96,22.03,27.19,23.94,23.16
0.69,24.39,22.7,20.89,25.33,23.65,21.96,24.82,23.12,21.64,24.33,22.9,21.47,27.37,24.17,22.85
0.71,24.43,22.7,20.48,25.14,23.54,21.51,24.7,23.09,21.15,24.13,22.64,20.94,27.53,24.59,22.81
0.73,24.47,22.74,19.97,25.11,23.51,21.09,24.53,23,20.74,24.04,22.74,20.21,27.45,24.79,22.53
0.75,24.15,22.49,19.68,24.66,22.9,20.49,24.16,22.6,19.93,23.87,22.7,19.98,27.24,24.84,22.27
0.77,24.13,22.3,19.68,24.29,22.51,20.38,23.82,22.26,19.86,23.88,22.7,20.21,26.93,24.33,22.1
0.79,24.49,22.25,20.18,24.24,21.98,20.31,23.57,21.41,19.76,23.79,22.32,20.05,26.73,23.94,22.06
0.81,24.74,22.38,20.6,24.19,21.52,20.24,23.59,21.06,19.81,23.81,22.06,20.27,26.54,23.75,21.99
0.83,24.72,22.49,20.56,24.12,21.09,20.28,23.5,20.91,19.9,24.01,21.74,20.55,26.03,23.54,21.94
0.85,24.32,22.17,20.62,23.62,21.34,20.57,22.82,20.7,19.72,23.65,21.72,20.81,25.08,23.12,21.55
0.88,23.42,21.72,20.17,23.01,21.58,20.9,22,20.8,19.77,23.26,22.11,21.03,24.4,22.93,21.39
0.90,22.7,21.29,19.81,22.76,21.55,21.11,21.74,21.07,19.97,22.66,21.93,21.01,23.76,22.58,21.07
0.92,22.02,20.87,19.47,22.26,21.4,20.94,21.56,20.99,20.25,21.88,21.61,20.6,22.96,21.99,20.68
0.94,21.08,20.25,19.07,21.52,20.93,20.59,20.98,20.47,19.95,21.05,20.67,20.22,21.81,21.1,19.98
0.96,20.34,19.85,18.78,20.95,20.49,20.28,20.24,19.8,19.37,20.24,19.99,19.68,20.99,20.39,19.56
0.98,19.49,19.15,18,20.3,19.96,19.54,19.5,19.16,18.56,19.47,19.27,18.59,20.15,19.7,18.86
0.00,18.83,18.64,17.38,19.66,19.29,18.82,18.72,18.58,17.83,18.45,18.37,17.84,19.19,18.94,17.96
